Bert Williams
Kevin Spacey
Phillipe Simon
Jack Shearer
David Powledge
Pete Postlethwaite
Kevin Pollak
Chazz Palminteri
Suzy Amis
Stephen Baldwin
Gabriel Byrne
Benicio Del Toro
Giancarlo Esposito
Dan Hedaya
Paul Bartel
Carl Bressler
Christine Estabrook
Clark Gregg
Morgan Hunter
Ken Daly
Michelle Clunie
Louis Lombardi
Frank Medrano
Ron Gilbert
Vito D'Ambrosio
Gene Lythgow
Robert Elmore
Bob Pennetta
Billy Bates
Smadar Hanson
Castulo Guerra
Peter Rocca
Jaime Campos
John Gillespie
Peter Greene
Michael McKay
Christopher McQuarrie
Scott B. Morgan
Michael Robert Nyman
Grace Sinden
